image1,image2,image3,image4,video,name,description,category,subcategory,price,discountPercentage,sizes,bestseller,ecoFriendly,quantity
,,,,,Ethnic Print Peplum Top,"green peplum top features golden ethnic motifs,flared silhouette and printed hem",Western Wear,Top,999,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Ethnic Print Peplum Top,"Stylish aqua blue peplum top featuring delicate floral prints, a round neckline",Western Wear,Top,999,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Ethnic Print Peplum Top,Black peplum top with gold floral prints and a detailed gold border,Western Wear,Top,999,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Floral Print Peplum Top,Grey peplum top adorned with intricate multicolor floral and paisley prints,Western Wear,Top,999,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Etnic Motif Printed Anarkali Kurta with Dupatta,"Vibrant red Anarkali with golden motifs, mirror work detailing, long sleeves, and a matching sheer dupatta",Indian Wear,Kurta Set,1499,0,"S,M,L,XL",TRUE,FALSE,50
,,,,,Floral Embroidered Printed Flex Cotton A-Line Kurta With Trousers,"Cream straight kurta with floral prints, paired with matching pants.",Indian Wear,Kurta Set,1499,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Floral Ethnic Print Peplum Top,Pink printed babydoll top with three-quarter sleeves and a round neckline.,Western Wear,Top,1199,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Floral Ethnic Print Peplum Top,"Dark green, round-neck tunic with small red and white diamond motifs.",Western Wear,Top,1199,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Floral Ethnic Print Peplum Top,Yellow printed high-low hem top with 3/4 sleeves and a round neckline.,Western Wear,Top,1199,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Floral Ethnic Print Peplum Top,Pink floral printed A-line tunic with 3/4 sleeves.,Western Wear,Top,1199,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Floral Ethnic Print Peplum Top,"Light grey peplum top with round neck, 3/4 sleeves, subtle floral print, and flared waist.",Western Wear,Top,1199,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Floral Ethnic Print Peplum Top,"Light mustard yellow peplum top with floral print, round neck, 3/4 sleeves, and a flared, high-low hem.",Western Wear,Top,1199,0,"S,M,L,XL",TRUE,FALSE,50
,,,,,Floral Print Pure Cotton A-Line Kurta With Trousers,vibrant maroon kurta with large white floral prints and matching palazzo pants,Indian Wear,Kurta Set,1599,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Floral Print Pure Cotton A-Line Kurta With Trousers,vibrant blue kurta with large white floral prints and matching palazzo pants,Indian Wear,Kurta Set,1599,0,"S,M,L,XL",TRUE,FALSE,50
,,,,,Floral Print Pure Cotton A-Line Kurta With Trousers,vibrant mustard yellow kurta with large white floral prints and matching palazzo pants,Indian Wear,Kurta Set,1599,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Floral Print Pure Cotton A-Line Kurta With Trousers,vibrant yellow kurta set featuring a floral print in white with button-down front and matching palazzo pants,Indian Wear,Kurta Set,1599,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Floral Print Pure Cotton A-Line Kurta With Trousers,two-piece outfit featuring a dark green base with large cream floral prints paired with matching wide-leg pants,Indian Wear,Kurta Set,1599,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Floral Print Ethnic Peplum Top, Cream-colored floral peplum top with small pink and green floral prints ,Western Wear,Top,1199,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Floral Printed Round Neck A-line Cotton Kurta,"stylish, knee-length piece in a soft pink color with an intricate white traditional print.",Indian Wear,Kurta,1299,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Floral Printed Round Neck A-line Cotton Kurta,"vibrant mustard yellow, knee-length design featuring traditional leaf block prints in contrasting tones.",Indian Wear,Kurta,1299,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Floral Printed Shirt Collar Pure Cotton A-Line Kurta With Trousers,"rust-red cotton kurta set featuring floral embroidery,front pockets paired with matching straight pants.",Indian Wear,Kurta Set,1499,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Geometric Print Pure Cotton A-Line Kurta With Trousers,bold geometric circular print in white and rust orange kurta with front buttons and wide-leg palazzo pants,Indian Wear,Kurta Set,1499,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Geometric Print Pure Cotton A-Line Kurta With Trousers,bold geometric circular print in white and violet kurta with front buttons and wide-leg palazzo pants,Indian Wear,Kurta Set,1499,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Geometric Print Pure Cotton A-Line Kurta With Trousers,bold geometric circular print in white and pink kurta with front buttons and wide-leg palazzo pants,Indian Wear,Kurta Set,1499,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Geometric Print Pure Cotton A-Line Kurta With Trousers,"Blue ikat print kurta set with a V-neck, three-quarter sleeves, and matching straight pants.",Indian Wear,Kurta Set,1499,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Geometric Print Peplum Top,Checkered peplum top with a round neckline and Flared hem,Western Wear,Top,999,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Geometric Print Peplum Top,Beige and black checked peplum top with three-quarter sleeves and decorative buttons on the front.,Western Wear,Top,999,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Geometric Print Peplum Top,vibrant checkered tunic top with 3/4 sleeves and  a round neckline,Western Wear,Top,999,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Geometric Print Peplum Top,Blue checkered flowy top with three-quarter sleeves and decorative buttons.,Western Wear,Top,999,0,"S,M,L,XL",TRUE,FALSE,50
,,,,,Women Cotton Palazzo Pant,"bright red, wide-leg palazzo pants with an elastic waistband",Indian Wear,Plazo Pants,799,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Cotton Palazzo Pant,"black, wide-leg palazzo pants with an elastic waistband",Indian Wear,Plazo Pants,799,0,"S,M,L,XL",TRUE,FALSE,50
,,,,,Women Cotton Palazzo Pant,"light pink base with floral prints, wide-leg palazzo pants with an elastic waistband",Western Wear,Plazo Pants,799,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Printed Pure Cotton Top,Sleeveless button-down top with purple and white geometric circle pattern.,Western Wear,Top,799,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Printed Pure Cotton Top,Sleeveless button-down top with an orange and white geometric circle pattern.,Western Wear,Top,799,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Printed Pure Cotton Top,sleeveless top with yellow A-line top featuring a bold white floral and ornamental pattern.,Western Wear,Top,799,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Printed Pure Cotton Top,sleeveless top with purple A-line top featuring a bold white floral and ornamental pattern.,Western Wear,Top,799,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Printed Pure Cotton Top,"Sleeveless pink top with white floral prints, front button-down design, and a slightly flared hem.",Western Wear,Top,799,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Printed Straight Rayon Kurta With Trousers & Dupatta,"Black rayon kurta with printed elephant yoke and embellishments, paired with matching palazzo pants and a coordinating printed dupatta.",Indian Wear,Suit Set,1499,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Printed Straight Rayon Kurta With Trousers & Dupatta,"stunning black Anarkali suit features intricate silver embroidery and a flowy, flattering design",Indian Wear,Kurta Set,1499,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Printed Straight Rayon Kurta With Trousers & Dupatta,"blue rayon kurta set with a V-neck, button detailing, straight pants, and a matching patterned dupatta",Indian Wear,Suit Set,1399,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Printed Straight Rayon Kurta With Trousers & Dupatta,"pink rayon kurta set with a V-neck, button detailing, straight pants, and a matching patterned dupatta",Indian Wear,Suit Set,1399,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Printed Straight Rayon Kurta With Trousers & Dupatta,"Emarld rayon kurta set with a V-neck, button detailing, straight pants, and a matching patterned dupatta",Indian Wear,Suit Set,1399,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Printed Straight Rayon Kurta With Trousers & Dupatta,"Brown rayon kurta set with a V-neck, button detailing and straight pants",Indian Wear,Kurta Set,1299,0,"S,M,L,XL",TRUE,FALSE,50
,,,,,Shirt-Collar Flex Cotton Kurta with Trouser,Brown colored Flex Cotton two-piece set with a long kurta featuring a white abstract horse design and matching straight pants.,Western Wear,CORD Sets,1999,0,"S,M,L,XL",TRUE,FALSE,50
,,,,,Shirt-Collar Flex Cotton Kurta with Trouser,Mustard yellow colored Flex Cotton two-piece set with a long kurta featuring a white abstract horse design and matching straight pants.,Western Wear,CORD Sets,1999,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Shirt-Collar Flex Cotton Midi Dress,flex cotton collared midi dress in a muted gray color with unique white abstract floral embroidery design ,Western Wear,Dress,1299,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Shirt-Collar Flex Cotton Midi Dress,cream-colored cotton midi dress with delicate floral embroidery in red and black on the bodice and sleeves,Western Wear,Dress,1499,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Shirt-Collar Flex Cotton Midi Dress,cream-colored cotton midi dress with delicate floral embroidery in yellow and blue on the bodice and sleeves,Western Wear,Dress,1499,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Shirt-Collar Flex Cotton Midi Dress,"plum-colored, flex cotton midi with a collared V-neck,plum-colored, flex cotton midi with a collared V-neck with side pockets",Western Wear,Dress,1499,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Shirt-Collar Flex Cotton Midi Dress,Orange cotton midi dress with 3/4 sleeves and white line art floral design,Western Wear,Dress,1499,0,"S,M,L,XL",FALSE,FALSE,50
